"date","node1","node2","node3","Here"
"2016-11-16 13:00:00",363.647,289.527,112.026,6.87666666666667
"2016-11-16 14:00:00",298.023,289.527,112.137,7.39533333333333
"2016-11-16 15:00:00",298.023,289.588,137.371,7.87641025641026
"2016-11-16 16:00:00",348.402,289.588,162.678,6.82923076923077
"2016-11-16 17:00:00",323.225,289.514,NA,3.54108108108108
"2016-11-16 18:00:00",298.01,264.345,112.137,1.68333333333333
"2016-11-16 19:00:00",298.023,289.576,137.309,3.15971428571429
"2016-11-16 20:00:00",323.213,264.209,NA,2.64444444444444
"2016-11-16 21:00:00",323.114,264.05,162.481,1.42863636363636
"2016-11-16 22:00:00",298.565,263.939,162.493,0.835263157894737
"2016-11-16 23:00:00",272.377,263.853,187.48,0.0191666666666667
"2016-11-17 00:00:00",297.776,263.841,155.997,0
"2016-11-17 01:00:00",297.776,282.795,187.48,0
"2016-11-17 02:00:00",297.875,289.109,187.48,0
"2016-11-17 03:00:00",297.801,263.841,187.394,0
"2016-11-17 04:00:00",297.826,263.865,162.395,0
"2016-11-17 05:00:00",272.426,263.89,187.381,0
"2016-11-17 06:00:00",247.335,289.023,136.779,0.3036
"2016-11-17 07:00:00",272.414,314.033,111.607,4.0025
"2016-11-17 08:00:00",297.789,289.085,111.835,7.11466666666667
"2016-11-17 09:00:00",373.58,289.121,187.529,5.676875
"2016-11-17 10:00:00",398.899333333333,289.256,212.713,2.19212765957447
"2016-11-17 11:00:00",403.436333333333,268.304,263.624,6.27936170212766
"2016-11-17 12:00:00",398.9522,285.311166666667,238.033,4.69340909090909
"2016-11-17 13:00:00",406.768333333333,289.524666666667,263.291,3.47279069767442
"2016-11-17 14:00:00",413.204333333333,301.962166666667,263.192,5.40150943396226
"2016-11-17 15:00:00",415.67,301.9705,238.008,8.20628571428571
"2016-11-17 16:00:00",398.9425,301.929666666667,NA,7.90318181818182
"2016-11-17 17:00:00",398.8295,294.3764,212.627,5.43232558139535
"2016-11-17 18:00:00",394.3645,289.134,212.676,4.31184210526316
"2016-11-17 19:00:00",388.9208,289.109,212.627,4.4825
"2016-11-17 20:00:00",373.676333333333,263.915,137.124,4.01157894736842
"2016-11-17 21:00:00",377.6245,263.951,NA,2.29
"2016-11-17 22:00:00",352.594666666667,263.915,120.014,1.27023255813953
"2016-11-17 23:00:00",358.961,264.185,112.063,0.915625
"2016-11-18 00:00:00",373.742166666667,264.197,187.591,0
"2016-11-18 01:00:00",373.768833333333,264.197,NA,0
"2016-11-18 02:00:00",386.359833333333,264.148,212.738,0
"2016-11-18 03:00:00",394.733666666667,264.05,238.033,0
"2016-11-18 04:00:00",398.918,289.171,238.045,0
"2016-11-18 05:00:00",373.654,270.413,225.33,0
"2016-11-18 06:00:00",348.23,289.134,230.341,0.267096774193548
"2016-11-18 07:00:00",398.807,289.183,212.676,3.54459459459459
"2016-11-18 08:00:00",373.605,289.121,162.407,5.7048275862069
